"DateTime","Pre Open NIFTY 50","NIFTY 50"
"2024-12-13 09:00:00",24548.7,
"2024-12-13 09:00:01",24549.8,
"2024-12-13 09:00:02",24533.45,
"2024-12-13 09:00:03",24526.95,
"2024-12-13 09:00:04",24564.55,
"2024-12-13 09:00:05",24567.7,
"2024-12-13 09:00:06",24546.6,
"2024-12-13 09:00:07",24553.8,
"2024-12-13 09:00:08",24743.4,
"2024-12-13 09:00:09",24738.4,
"2024-12-13 09:00:10",24738.75,
"2024-12-13 09:00:11",24737.75,
"2024-12-13 09:00:12",24740.9,
"2024-12-13 09:00:13",24737.2,
"2024-12-13 09:00:14",24742.35,
"2024-12-13 09:00:15",24738.2,
"2024-12-13 09:00:16",24736.5,
"2024-12-13 09:00:17",24738.4,
"2024-12-13 09:00:18",24736.3,
"2024-12-13 09:00:19",24733.1,
"2024-12-13 09:00:20",24734,
"2024-12-13 09:00:21",24736.9,
"2024-12-13 09:00:22",24734.7,
"2024-12-13 09:00:23",24735.3,
"2024-12-13 09:00:24",24713.45,
"2024-12-13 09:00:25",24641.65,
"2024-12-13 09:00:26",24640.6,
"2024-12-13 09:00:27",24640.5,
"2024-12-13 09:00:28",24640.15,
"2024-12-13 09:00:29",24640.8,
"2024-12-13 09:00:30",24645.1,
"2024-12-13 09:00:31",24644.25,
"2024-12-13 09:00:32",24629.15,
"2024-12-13 09:00:33",24630.8,
"2024-12-13 09:00:34",24617.95,
"2024-12-13 09:00:35",24613.9,
"2024-12-13 09:00:36",24612.05,
"2024-12-13 09:00:37",24605.05,
"2024-12-13 09:00:38",24607.3,
"2024-12-13 09:00:39",24608.8,
"2024-12-13 09:00:40",24606.45,
"2024-12-13 09:00:41",24606.4,
"2024-12-13 09:00:42",24607.45,
"2024-12-13 09:00:43",24611.05,
"2024-12-13 09:00:44",24608.15,
"2024-12-13 09:00:45",24607.3,
"2024-12-13 09:00:46",24607.4,
"2024-12-13 09:00:47",24607.5,
"2024-12-13 09:00:48",24610.65,
"2024-12-13 09:00:49",24610.1,
"2024-12-13 09:00:50",24610.15,
"2024-12-13 09:00:51",24609.15,
"2024-12-13 09:00:52",24609.95,
"2024-12-13 09:00:53",24613.75,
"2024-12-13 09:00:54",24609.35,
"2024-12-13 09:00:55",24606,
"2024-12-13 09:00:56",24605,
"2024-12-13 09:00:57",24606.1,
"2024-12-13 09:00:58",24605.3,
"2024-12-13 09:00:59",24605.35,
"2024-12-13 09:01:00",24604.4,
"2024-12-13 09:01:01",24606.75,
"2024-12-13 09:01:02",24607.45,
"2024-12-13 09:01:03",24607.3,
"2024-12-13 09:01:04",24610.05,
"2024-12-13 09:01:05",24610,
"2024-12-13 09:01:06",24609.8,
"2024-12-13 09:01:07",24586.55,
"2024-12-13 09:01:08",24585.6,
"2024-12-13 09:01:09",24586.1,
"2024-12-13 09:01:10",24582.3,
"2024-12-13 09:01:11",24585.1,
"2024-12-13 09:01:12",24584.45,
"2024-12-13 09:01:13",24587.4,
"2024-12-13 09:01:14",24578.5,
"2024-12-13 09:01:15",24578.5,
"2024-12-13 09:01:16",24579.6,
"2024-12-13 09:01:17",24584.55,
"2024-12-13 09:01:18",24584.75,
"2024-12-13 09:01:19",24571.15,
"2024-12-13 09:01:20",24571.15,
"2024-12-13 09:01:21",24571.2,
"2024-12-13 09:01:22",24570.9,
"2024-12-13 09:01:23",24570.45,
"2024-12-13 09:01:24",24571.9,
"2024-12-13 09:01:25",24569.8,
